1,  1,10000
1,  1,10001
1,  1,10002
1,  1,10003
1,  1,10004
1,  1,10005
1,  1,10006
1,  1,10007
1,  1,10008
1,  1,10009
1,  1,10010
1,  1,10011
1,  1,10012
1,  1,10013
1,  1,10014
1,  1,10015
1,  1,10016
1,  1,10017
1,  1,10018
1,  1,10019
1,  1,10020
1,  1,10021
1,  1,10022
1,  1,10023
1,  1,10024
1,  1,10025
1,  1,10026
1,  1,10027
1,  1,10028
1,  1,10029
1,  1,10030
1,  1,10031
1,  1,10032
1,  1,10033
1,  1,10034
1,  1,10035
1,  1,10036
1,  1,10037
1,  1,10038
1,  1,10039
1,  1,10040
1,  1,10041
1,  1,10042
1,  1,10043
1,  1,10044
